,Age,Gender,Country,Degree,Job Title,Company Size,Team Size,ML Status in Company,Year,Min_Salary,Max_Salary
37,30-34,Male,United States of America,Master,Data Analyst,250-999 employees,20+,Well-establised,2020,80000.0,89999.0
38,45-49,Male,United States of America,Master,Software Engineer,250-999 employees,20+,Well-establised,2020,150000.0,199999.0
39,30-34,Female,India,Bachelor,Data Scientist,50-249 employees,20+,Well-establised,2020,20001.0,30000.0
40,35-39,Male,United States of America,Master,Machine Learning Engineer,50-249 employees,1-2,Well-establised,2020,150000.0,199999.0
41,30-34,Female,Spain,Master,Data Scientist,250-999 employees,0,Never,2020,40000.0,49999.0
42,40-44,Female,United States of America,Bachelor,Data Analyst,0-49 employees,1-2,Never,2020,30000.0,39999.0
43,22-24,Male,United States of America,Master,Data Analyst,0-49 employees,0,Never,2020,30000.0,39999.0
44,30-34,Female,Germany,Doctoral,Data Scientist,0-49 employees,1-2,Others,2020,50000.0,59999.0
45,22-24,Female,Romania,Master,Data Scientist,"1000-9,999 employees",3-4,Well-establised,2020,10001.0,20000.0
46,30-34,Male,Russia,Bachelor,Data Scientist,"10,000 or more employees",20+,Recently-started,2020,20001.0,30000.0
47,40-44,Male,India,Master,Data Scientist,0-49 employees,1-2,Others,2020,10001.0,20000.0
48,25-29,Female,United Kingdom of Great Britain and Northern Ireland,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,60000.0,69999.0
49,25-29,Male,Colombia,Professional degree,Data Analyst,"1000-9,999 employees",5-9,Exploring,2020,10001.0,20000.0
50,18-21,Male,United States of America,Master,Software Engineer,0-49 employees,3-4,Exploring,2020,90000.0,99999.0
51,60-69,Male,Japan,Master,Product/Project Manager,250-999 employees,1-2,Well-establised,2020,150000.0,199999.0
52,35-39,Male,Republic of Korea,Professional degree,Data Analyst,"10,000 or more employees",20+,Well-establised,2020,50000.0,59999.0
53,22-24,Male,India,Bachelor,Data Engineer,"1000-9,999 employees",10-14,Never,2020,10001.0,20000.0
54,30-34,Male,Chile,Master,Software Engineer,"1000-9,999 employees",3-4,Exploring,2020,20001.0,30000.0
55,40-44,Female,United States of America,Master,Statistician,0-49 employees,1-2,Never,2020,40000.0,49999.0
56,30-34,Male,United States of America,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,200000.0,249999.0
57,50-54,Male,Japan,Master,Product/Project Manager,0-49 employees,3-4,Recently-started,2020,125000.0,149999.0
58,25-29,Male,India,Bachelor,Data Engineer,"10,000 or more employees",20+,Exploring,2020,20001.0,30000.0
59,40-44,Male,United States of America,Master,Statistician,"10,000 or more employees",20+,Well-establised,2020,150000.0,199999.0
60,22-24,Male,Russia,Master,Data Analyst,"1000-9,999 employees",3-4,Recently-started,2020,10001.0,20000.0
61,55-59,Male,Germany,Doctoral,Business Analyst,"10,000 or more employees",3-4,Exploring,2020,125000.0,149999.0
62,50-54,Male,United States of America,Master,Software Engineer,"10,000 or more employees",20+,Exploring,2020,100000.0,124999.0
63,30-34,Male,Mexico,Master,Data Analyst,"1000-9,999 employees",1-2,Exploring,2020,20001.0,30000.0
64,22-24,Male,United States of America,Master,Business Analyst,250-999 employees,15-19,Never,2020,60000.0,69999.0
65,25-29,Male,Ireland,Master,Data Analyst,"1000-9,999 employees",0,Exploring,2020,50000.0,59999.0
66,45-49,Male,"Iran, Islamic Republic of...",Master,Machine Learning Engineer,250-999 employees,3-4,Others,2020,20001.0,30000.0
67,35-39,Male,Spain,Master,Data Engineer,50-249 employees,3-4,Recently-started,2020,20001.0,30000.0
68,30-34,Male,Sweden,Master,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,50000.0,59999.0
69,35-39,Female,Poland,Master,Data Analyst,250-999 employees,3-4,Well-establised,2020,40000.0,49999.0
70,55-59,Male,Netherlands,Master,Data Scientist,"1000-9,999 employees",10-14,Well-establised,2020,70000.0,79999.0
71,60-69,Male,United States of America,Master,Product/Project Manager,0-49 employees,0,Others,2020,60000.0,69999.0
72,55-59,Male,France,Doctoral,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,300000.0,500000.0
73,25-29,Male,United States of America,Bachelor,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,100000.0,124999.0
74,40-44,Male,Brazil,Master,Software Engineer,0-49 employees,0,Never,2020,20001.0,30000.0
75,45-49,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor,Product/Project Manager,"10,000 or more employees",20+,Exploring,2020,100000.0,124999.0
76,40-44,Male,Taiwan,Master,DBA/Database Engineer,"1000-9,999 employees",5-9,Recently-started,2020,50000.0,59999.0
77,30-34,Male,United States of America,Some college,Software Engineer,50-249 employees,1-2,Recently-started,2020,100000.0,124999.0
78,22-24,Male,United Kingdom of Great Britain and Northern Ireland,Master,Data Analyst,"10,000 or more employees",15-19,Exploring,2020,40000.0,49999.0
79,30-34,Male,Mexico,Doctoral,Software Engineer,"10,000 or more employees",20+,Recently-started,2020,10001.0,20000.0
80,40-44,Male,India,Master,Product/Project Manager,"10,000 or more employees",20+,Others,2020,60000.0,69999.0
81,22-24,Male,India,Bachelor,Data Scientist,0-49 employees,1-2,Recently-started,2020,500000.0,
82,25-29,Male,India,Bachelor,Data Analyst,250-999 employees,1-2,Exploring,2020,20001.0,30000.0
83,25-29,Male,France,Master,Data Scientist,"10,000 or more employees",20+,Exploring,2020,40000.0,49999.0
84,35-39,Male,United States of America,Master,Data Scientist,50-249 employees,5-9,Recently-started,2020,150000.0,199999.0
85,45-49,Male,United States of America,Doctoral,Research Scientist,250-999 employees,20+,Others,2020,125000.0,149999.0
86,40-44,Female,Chile,Master,Machine Learning Engineer,0-49 employees,1-2,Exploring,2020,10001.0,20000.0
87,25-29,Male,Australia,Master,Business Analyst,0-49 employees,20+,Recently-started,2020,50000.0,59999.0
88,25-29,Male,United States of America,Master,Business Analyst,250-999 employees,3-4,Never,2020,80000.0,89999.0
89,40-44,Female,Malaysia,Doctoral,Software Engineer,0-49 employees,0,Exploring,2020,20001.0,30000.0
90,45-49,Male,Colombia,Master,Business Analyst,50-249 employees,0,Never,2020,40000.0,49999.0
91,35-39,Male,Greece,Master,Research Scientist,0-49 employees,1-2,Exploring,2020,10001.0,20000.0
92,50-54,Male,Japan,Bachelor,Machine Learning Engineer,"1000-9,999 employees",10-14,Exploring,2020,90000.0,99999.0
93,25-29,Male,Japan,Master,Business Analyst,"1000-9,999 employees",3-4,Well-establised,2020,50000.0,59999.0
94,25-29,Male,United States of America,Master,Data Engineer,50-249 employees,20+,Well-establised,2020,10001.0,20000.0
95,25-29,Male,United States of America,Master,Business Analyst,250-999 employees,20+,Well-establised,2020,100000.0,124999.0
96,35-39,Male,Netherlands,Master,Data Analyst,250-999 employees,5-9,Never,2020,50000.0,59999.0
97,55-59,Male,Australia,Bachelor,Statistician,0-49 employees,1-2,Exploring,2020,20001.0,30000.0
98,30-34,Male,United States of America,Doctoral,Research Scientist,0-49 employees,1-2,Exploring,2020,60000.0,69999.0
99,35-39,Nonbinary,United States of America,Master,Data Scientist,250-999 employees,5-9,Well-establised,2020,125000.0,149999.0
100,50-54,Male,United States of America,Master,Product/Project Manager,"10,000 or more employees",20+,Recently-started,2020,150000.0,199999.0
101,45-49,Male,India,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,20001.0,30000.0
102,50-54,Male,Taiwan,Bachelor,Software Engineer,"1000-9,999 employees",20+,Others,2020,30000.0,39999.0
103,45-49,Male,Ukraine,Professional degree,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,10001.0,20000.0
104,50-54,Male,Italy,Master,Product/Project Manager,"1000-9,999 employees",5-9,Exploring,2020,125000.0,149999.0
105,35-39,Male,South Africa,Master,Data Scientist,0-49 employees,3-4,Recently-started,2020,40000.0,49999.0
106,25-29,Male,India,Bachelor,Data Scientist,"1000-9,999 employees",20+,Recently-started,2020,10001.0,20000.0
107,60-69,Male,Canada,Professional degree,Business Analyst,"1000-9,999 employees",5-9,Never,2020,100000.0,124999.0
108,35-39,Male,United States of America,Master,Machine Learning Engineer,"10,000 or more employees",20+,Well-establised,2020,100000.0,124999.0
109,22-24,Male,United States of America,Bachelor,Data Analyst,50-249 employees,3-4,Well-establised,2020,80000.0,89999.0
110,50-54,Male,United States of America,Bachelor,Data Engineer,0-49 employees,3-4,Others,2020,100000.0,124999.0
111,30-34,Male,Germany,Master,Software Engineer,0-49 employees,1-2,Exploring,2020,10001.0,20000.0
112,30-34,Female,United States of America,Master,Data Engineer,"10,000 or more employees",20+,Others,2020,100000.0,124999.0
113,22-24,Male,United Kingdom of Great Britain and Northern Ireland,Master,Data Scientist,0-49 employees,1-2,Exploring,2020,30000.0,39999.0
114,35-39,Male,Turkey,Doctoral,Product/Project Manager,"10,000 or more employees",0,Never,2020,10001.0,20000.0
115,22-24,Male,United States of America,Master,Machine Learning Engineer,"10,000 or more employees",20+,Recently-started,2020,50000.0,59999.0
116,25-29,Male,Brazil,Master,Data Analyst,"1000-9,999 employees",3-4,Exploring,2020,10001.0,20000.0
117,25-29,Male,India,Bachelor,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,60000.0,69999.0
118,22-24,Male,Poland,Master,Data Scientist,"1000-9,999 employees",1-2,Recently-started,2020,20001.0,30000.0
119,30-34,Male,United States of America,Master,Data Analyst,50-249 employees,1-2,Exploring,2020,70000.0,79999.0
120,40-44,Male,Mexico,Doctoral,Business Analyst,"10,000 or more employees",1-2,Others,2020,50000.0,59999.0
121,50-54,Male,United States of America,Master,Software Engineer,"1000-9,999 employees",3-4,Recently-started,2020,125000.0,149999.0
122,30-34,Male,India,Bachelor,Data Analyst,"10,000 or more employees",3-4,Never,2020,20001.0,30000.0
123,50-54,Male,Italy,Master,Product/Project Manager,"10,000 or more employees",20+,Recently-started,2020,50000.0,59999.0
124,35-39,Male,Mexico,Bachelor,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,20001.0,30000.0
125,45-49,Male,Japan,Master,Business Analyst,250-999 employees,1-2,Never,2020,100000.0,124999.0
126,35-39,Male,United States of America,Bachelor,Product/Project Manager,50-249 employees,1-2,Exploring,2020,125000.0,149999.0
127,50-54,Male,United States of America,Master,Data Engineer,0-49 employees,3-4,Exploring,2020,200000.0,249999.0
128,18-21,Male,India,Bachelor,Data Scientist,0-49 employees,0,Well-establised,2020,300000.0,500000.0
129,35-39,Female,Netherlands,Master,Software Engineer,"1000-9,999 employees",0,Never,2020,40000.0,49999.0
130,45-49,Male,India,Doctoral,Research Scientist,"1000-9,999 employees",20+,Well-establised,2020,40000.0,49999.0
131,30-34,Male,South Korea,Doctoral,Data Scientist,0-49 employees,3-4,Others,2020,30000.0,39999.0
132,30-34,Male,United States of America,Doctoral,Data Scientist,250-999 employees,5-9,Recently-started,2020,100000.0,124999.0
133,35-39,Female,Tunisia,Doctoral,Research Scientist,0-49 employees,0,Exploring,2020,10001.0,20000.0
134,35-39,Male,United States of America,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,200000.0,249999.0
135,45-49,Male,Canada,Master,Data Engineer,"10,000 or more employees",20+,Well-establised,2020,80000.0,89999.0
136,35-39,Male,Portugal,Doctoral,Data Engineer,250-999 employees,3-4,Recently-started,2020,50000.0,59999.0
137,45-49,Male,India,Doctoral,Research Scientist,0-49 employees,1-2,Well-establised,2020,100000.0,124999.0
138,40-44,Male,United States of America,Doctoral,Data Scientist,50-249 employees,10-14,Recently-started,2020,150000.0,199999.0
139,45-49,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor,Business Analyst,250-999 employees,0,Never,2020,90000.0,99999.0
140,35-39,Male,Brazil,Master,Machine Learning Engineer,"10,000 or more employees",20+,Recently-started,2020,30000.0,39999.0
141,50-54,Male,Brazil,Bachelor,Data Engineer,0-49 employees,1-2,Exploring,2020,30000.0,39999.0
142,55-59,Male,Sweden,Some college,Data Scientist,0-49 employees,0,Others,2020,100000.0,124999.0
143,35-39,Male,Switzerland,Doctoral,Research Scientist,"10,000 or more employees",20+,Well-establised,2020,150000.0,199999.0
144,40-44,Female,Philippines,Doctoral,Research Scientist,50-249 employees,1-2,Exploring,2020,10001.0,20000.0
145,22-24,Male,India,Master,Software Engineer,"10,000 or more employees",20+,Recently-started,2020,10001.0,20000.0
146,30-34,Male,Mexico,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,20001.0,30000.0
147,30-34,Male,United States of America,Master,Product/Project Manager,"10,000 or more employees",20+,Others,2020,250000.0,299999.0
148,30-34,Male,United Kingdom of Great Britain and Northern Ireland,Master,Product/Project Manager,"1000-9,999 employees",3-4,Never,2020,60000.0,69999.0
149,40-44,Male,Japan,Doctoral,Product/Project Manager,250-999 employees,5-9,Exploring,2020,90000.0,99999.0
150,30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Data Scientist,"1000-9,999 employees",20+,Recently-started,2020,70000.0,79999.0
151,25-29,Male,India,Bachelor,Data Scientist,"1000-9,999 employees",10-14,Others,2020,30000.0,39999.0
152,25-29,Male,Ukraine,Master,Data Scientist,50-249 employees,3-4,Recently-started,2020,10001.0,20000.0
153,40-44,Male,India,Bachelor,Software Engineer,"1000-9,999 employees",20+,Recently-started,2020,300000.0,500000.0
154,50-54,Male,Spain,Master,Data Scientist,50-249 employees,3-4,Exploring,2020,70000.0,79999.0
155,25-29,Male,Germany,Master,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,70000.0,79999.0
156,25-29,Male,France,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,50000.0,59999.0
157,30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Research Scientist,"10,000 or more employees",5-9,Well-establised,2020,70000.0,79999.0
158,45-49,Male,Spain,Master,Data Engineer,0-49 employees,1-2,Exploring,2020,40000.0,49999.0
159,35-39,Female,United States of America,Doctoral,Data Analyst,"10,000 or more employees",5-9,Well-establised,2020,100000.0,124999.0
160,25-29,Male,India,Master,Data Scientist,0-49 employees,5-9,Exploring,2020,40000.0,49999.0
161,30-34,Male,Netherlands,Master,Data Scientist,250-999 employees,20+,Exploring,2020,60000.0,69999.0
162,18-21,Male,Germany,Bachelor,Software Engineer,"10,000 or more employees",20+,Others,2020,80000.0,89999.0
163,40-44,Male,India,Master,Product/Project Manager,"10,000 or more employees",20+,Recently-started,2020,30000.0,39999.0
164,35-39,Female,Argentina,Bachelor,Data Scientist,0-49 employees,1-2,Well-establised,2020,80000.0,89999.0
165,35-39,Male,Brazil,Master,Research Scientist,"10,000 or more employees",20+,Recently-started,2020,30000.0,39999.0
166,35-39,Male,Brazil,Master,Business Analyst,"10,000 or more employees",10-14,Well-establised,2020,10001.0,20000.0
167,35-39,Male,Spain,Doctoral,Data Scientist,"10,000 or more employees",5-9,Well-establised,2020,30000.0,39999.0
168,25-29,Male,United States of America,Master,Machine Learning Engineer,"1000-9,999 employees",20+,Well-establised,2020,70000.0,79999.0
169,25-29,Male,Brazil,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,30000.0,39999.0
170,22-24,Male,France,Master,Software Engineer,0-49 employees,1-2,Never,2020,30000.0,39999.0
171,35-39,Female,Malaysia,Doctoral,Research Scientist,50-249 employees,0,Exploring,2020,20001.0,30000.0
172,45-49,Male,India,Bachelor,Product/Project Manager,"10,000 or more employees",20+,Others,2020,20001.0,30000.0
173,30-34,Male,United States of America,Master,Data Analyst,50-249 employees,5-9,Recently-started,2020,125000.0,149999.0
174,22-24,Male,Poland,Some college,Software Engineer,"1000-9,999 employees",20+,Well-establised,2020,20001.0,30000.0
175,30-34,Male,Brazil,Master,Software Engineer,"1000-9,999 employees",5-9,Others,2020,20001.0,30000.0
176,50-54,Male,Netherlands,Master,Data Scientist,0-49 employees,1-2,Never,2020,100000.0,124999.0
177,25-29,Male,India,Master,Machine Learning Engineer,50-249 employees,5-9,Exploring,2020,10001.0,20000.0
178,40-44,Female,Portugal,Master,Data Analyst,"1000-9,999 employees",10-14,Well-establised,2020,30000.0,39999.0
179,50-54,Male,Sweden,Bachelor,Data Analyst,0-49 employees,1-2,Never,2020,30000.0,39999.0
180,30-34,Male,United Arab Emirates,Doctoral,Product/Project Manager,0-49 employees,3-4,Well-establised,2020,50000.0,59999.0
181,45-49,Male,United States of America,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,100000.0,124999.0
182,22-24,Male,India,Bachelor,Business Analyst,0-49 employees,0,Exploring,2020,500000.0,
183,35-39,Male,Brazil,Bachelor,Software Engineer,"1000-9,999 employees",3-4,Exploring,2020,10001.0,20000.0
184,30-34,Female,Ireland,Doctoral,Software Engineer,"1000-9,999 employees",20+,Exploring,2020,50000.0,59999.0
185,30-34,Male,United States of America,Master,Data Analyst,"10,000 or more employees",20+,Recently-started,2020,100000.0,124999.0
186,25-29,Male,India,Master,Data Scientist,"10,000 or more employees",20+,Exploring,2020,20001.0,30000.0
187,45-49,Male,United States of America,Master,DBA/Database Engineer,"1000-9,999 employees",0,Exploring,2020,150000.0,199999.0
188,30-34,Male,Russia,Master,Data Scientist,50-249 employees,20+,Recently-started,2020,30000.0,39999.0
189,45-49,Male,Portugal,Master,Product/Project Manager,50-249 employees,0,Never,2020,50000.0,59999.0
190,30-34,Male,Spain,Master,Data Scientist,0-49 employees,1-2,Well-establised,2020,20001.0,30000.0
191,35-39,Male,India,Master,Machine Learning Engineer,"1000-9,999 employees",20+,Recently-started,2020,50000.0,59999.0
192,40-44,Male,Italy,Doctoral,Research Scientist,"1000-9,999 employees",20+,Well-establised,2020,10001.0,20000.0
193,22-24,Male,India,Master,Data Scientist,250-999 employees,5-9,Recently-started,2020,10001.0,20000.0
194,45-49,Male,Netherlands,Doctoral,Software Engineer,50-249 employees,5-9,Recently-started,2020,80000.0,89999.0
195,40-44,Male,United States of America,Master,Data Engineer,250-999 employees,20+,Well-establised,2020,200000.0,249999.0
196,35-39,Male,Republic of Korea,Bachelor,Data Scientist,"1000-9,999 employees",20+,Recently-started,2020,80000.0,89999.0
197,25-29,Male,Spain,Doctoral,Research Scientist,50-249 employees,1-2,Never,2020,10001.0,20000.0
198,50-54,Male,United States of America,Doctoral,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,150000.0,199999.0
199,40-44,Male,Netherlands,Bachelor,Product/Project Manager,50-249 employees,1-2,Exploring,2020,100000.0,124999.0
200,45-49,Female,United States of America,Bachelor,Data Scientist,"1000-9,999 employees",3-4,Exploring,2020,100000.0,124999.0
201,35-39,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Data Scientist,0-49 employees,1-2,Others,2020,70000.0,79999.0
202,70+,Male,India,Master,Data Scientist,50-249 employees,20+,Well-establised,2020,200000.0,249999.0
203,40-44,Male,United States of America,Doctoral,Data Scientist,250-999 employees,5-9,Well-establised,2020,70000.0,79999.0
204,22-24,Male,United States of America,Master,Data Scientist,50-249 employees,10-14,Well-establised,2020,125000.0,149999.0
205,40-44,Male,Brazil,Bachelor,Software Engineer,250-999 employees,10-14,Others,2020,10001.0,20000.0
206,35-39,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Machine Learning Engineer,"10,000 or more employees",20+,Well-establised,2020,150000.0,199999.0
207,45-49,Female,Mexico,Master,Data Scientist,0-49 employees,1-2,Exploring,2020,80000.0,89999.0
208,25-29,Male,India,Master,Data Scientist,50-249 employees,10-14,Well-establised,2020,60000.0,69999.0
209,50-54,Female,Italy,Doctoral,Statistician,"1000-9,999 employees",0,Never,2020,40000.0,49999.0
210,30-34,Male,Australia,Master,Software Engineer,50-249 employees,1-2,Exploring,2020,70000.0,79999.0
211,45-49,Male,Japan,Master,Machine Learning Engineer,"10,000 or more employees",3-4,Others,2020,50000.0,59999.0
212,45-49,Male,Poland,Master,Data Scientist,"1000-9,999 employees",15-19,Well-establised,2020,50000.0,59999.0
213,25-29,Male,Canada,Master,Data Scientist,"10,000 or more employees",10-14,Recently-started,2020,70000.0,79999.0
214,25-29,Male,India,Bachelor,Data Scientist,50-249 employees,1-2,Recently-started,2020,30000.0,39999.0
215,25-29,Male,India,Bachelor,Machine Learning Engineer,50-249 employees,1-2,Well-establised,2020,20001.0,30000.0
216,35-39,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Data Scientist,50-249 employees,20+,Well-establised,2020,150000.0,199999.0
217,40-44,Male,Philippines,Bachelor,Software Engineer,250-999 employees,1-2,Well-establised,2020,10001.0,20000.0
218,60-69,Male,United States of America,Master,DBA/Database Engineer,0-49 employees,1-2,Exploring,2020,125000.0,149999.0
219,25-29,Male,South Africa,Bachelor,Data Analyst,250-999 employees,3-4,Exploring,2020,10001.0,20000.0
220,25-29,Male,Malaysia,Bachelor,Data Scientist,"1000-9,999 employees",1-2,Recently-started,2020,10001.0,20000.0
221,30-34,Male,United States of America,Master,Data Scientist,"10,000 or more employees",20+,Others,2020,125000.0,149999.0
222,45-49,Male,Russia,Master,Machine Learning Engineer,0-49 employees,3-4,Others,2020,100000.0,124999.0
223,35-39,Female,Switzerland,Doctoral,Data Scientist,0-49 employees,1-2,Recently-started,2020,80000.0,89999.0
224,25-29,Female,United States of America,Doctoral,Machine Learning Engineer,"10,000 or more employees",20+,Others,2020,10001.0,20000.0
225,40-44,Male,Germany,Professional degree,Research Scientist,"1000-9,999 employees",5-9,Never,2020,80000.0,89999.0
226,30-34,Male,United States of America,Master,Data Analyst,"10,000 or more employees",20+,Exploring,2020,150000.0,199999.0
227,35-39,Male,France,Master,Product/Project Manager,"10,000 or more employees",20+,Recently-started,2020,125000.0,149999.0
228,30-34,Male,China,Master,Business Analyst,"1000-9,999 employees",5-9,Exploring,2020,10001.0,20000.0
229,40-44,Male,Australia,Bachelor,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,125000.0,149999.0
230,35-39,Male,United Kingdom of Great Britain and Northern Ireland,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,90000.0,99999.0
231,22-24,Male,Bangladesh,Master,Data Scientist,"1000-9,999 employees",20+,Others,2020,30000.0,39999.0
232,45-49,Male,South Africa,Professional degree,Business Analyst,0-49 employees,1-2,Exploring,2020,80000.0,89999.0
233,35-39,Male,Netherlands,Some college,Data Scientist,250-999 employees,3-4,Well-establised,2020,70000.0,79999.0
234,45-49,Male,Russia,Doctoral,Product/Project Manager,0-49 employees,1-2,Never,2020,20001.0,30000.0
235,55-59,Male,Canada,Master,DBA/Database Engineer,0-49 employees,0,Never,2020,10001.0,20000.0
236,25-29,Male,Russia,Master,Machine Learning Engineer,0-49 employees,20+,Recently-started,2020,50000.0,59999.0
237,45-49,Male,United States of America,Master,Software Engineer,0-49 employees,1-2,Well-establised,2020,90000.0,99999.0
238,30-34,Male,Italy,Doctoral,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,40000.0,49999.0
239,25-29,Male,Germany,Master,DBA/Database Engineer,"1000-9,999 employees",0,Never,2020,50000.0,59999.0
240,60-69,Male,United States of America,Master,Product/Project Manager,0-49 employees,0,Never,2020,20001.0,30000.0
241,30-34,Male,Italy,Master,Business Analyst,"10,000 or more employees",20+,Exploring,2020,50000.0,59999.0
242,22-24,Male,India,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,40000.0,49999.0
243,30-34,Male,United States of America,Master,Data Scientist,0-49 employees,3-4,Others,2020,300000.0,500000.0
244,25-29,Male,United States of America,Bachelor,Data Scientist,50-249 employees,1-2,Recently-started,2020,80000.0,89999.0
245,30-34,Male,Germany,Master,Data Scientist,0-49 employees,5-9,Never,2020,70000.0,79999.0
